lempos,lemma,PoS_CLAN,n,PoS_type
a@det:art,a,det:art,8619,non-lexical
a_herm@co,a_herm,co,1,non-lexical
a_woo@co,a_woo,co,1,non-lexical
aa@co,aa,co,1,non-lexical
aaaaaaaaaaargh@co,aaaaaaaaaaargh,co,1,non-lexical
aaaaaaaaaah@co,aaaaaaaaaah,co,1,non-lexical
aaaaaaaaaarggggggg@co,aaaaaaaaaarggggggg,co,4,non-lexical
aaaaaaaarrrrggghhh@co,aaaaaaaarrrrggghhh,co,3,non-lexical
aaaaaaarrgghh@co,aaaaaaarrgghh,co,1,non-lexical
aaaaaaarrrrgggghhhhhhh@co,aaaaaaarrrrgggghhhhhhh,co,1,non-lexical
aaaaaaggggghhhhh@co,aaaaaaggggghhhhh,co,2,non-lexical
aaaaaaggggghhhhhh@co,aaaaaaggggghhhhhh,co,1,non-lexical
aaaaaaggggghhhhhhh@co,aaaaaaggggghhhhhhh,co,1,non-lexical
aaaaages@wplay,aaaaages,wplay,1,non-lexical
aaaaaggggghhhhh@co,aaaaaggggghhhhh,co,1,non-lexical
aaaaah@co,aaaaah,co,1,non-lexical
aaaaallll@wplay,aaaaallll,wplay,1,non-lexical
aaaagggghhhh@co,aaaagggghhhh,co,1,non-lexical
aaaaggghh@co,aaaaggghh,co,2,non-lexical
aaaagh@co,aaaagh,co,1,non-lexical
aaaah@co,aaaah,co,1,non-lexical
aaaahh@co,aaaahh,co,2,non-lexical
aaaahhbh@co,aaaahhbh,co,1,non-lexical
aaaargghhhhh@co,aaaargghhhhh,co,1,non-lexical
aaaargghhhhhy@co,aaaargghhhhhy,co,1,non-lexical
aaaarrgghhh@co,aaaarrgghhh,co,1,non-lexical
aaaarrgh@co,aaaarrgh,co,1,non-lexical
aaaarrrgh@co,aaaarrrgh,co,2,non-lexical
aaaarrrrgggghhhhhh@co,aaaarrrrgggghhhhhh,co,1,non-lexical
aaaarrrrgghh@co,aaaarrrrgghh,co,1,non-lexical
aaaarrrrgghhh@co,aaaarrrrgghhh,co,1,non-lexical
aaaarrrrgghhhhhh@co,aaaarrrrgghhhhhh,co,1,non-lexical
aaaeeeee@co,aaaeeeee,co,1,non-lexical
aaagaaain@wplay,aaagaaain,wplay,1,non-lexical
aaagggghhh@co,aaagggghhh,co,1,non-lexical
aaaggghhhh@co,aaaggghhhh,co,1,non-lexical
aaagh@co,aaagh,co,1,non-lexical
aaahhh@co,aaahhh,co,1,non-lexical
aaargh@co,aaargh,co,2,non-lexical
aaarrgghh@co,aaarrgghh,co,1,non-lexical
aaarrrrgggh@co,aaarrrrgggh,co,1,non-lexical
aaarrrrggghh@co,aaarrrrggghh,co,1,non-lexical
aaarrrrrrr@co,aaarrrrrrr,co,1,non-lexical
aaeeee@co,aaeeee,co,1,non-lexical
aagghh@co,aagghh,co,1,non-lexical
aah@v,aah,v,1,lexical
aardvark@n,aardvark,n,1,lexical
aardwolf@n,aardwolf,n,1,lexical
aarrgh@co,aarrgh,co,1,non-lexical
aback@adv,aback,adv,1,non-lexical
abandon@part,abandon,part,1,lexical
abc@n,abc,n,3,lexical
abcdefghijklm@n:let,abcdefghijklm,n:let,1,non-lexical
able@adj,able,adj,59,lexical
able@n,able,n,3,lexical
ablutophobia@n,ablutophobia,n,1,lexical
aboard@adv,aboard,adv,5,non-lexical
aboard@prep,aboard,prep,1,non-lexical
aboooout@wplay,aboooout,wplay,1,non-lexical
about@adv,about,adv,248,non-lexical
about@prep,about,prep,540,non-lexical
above@adv,above,adv,12,non-lexical
above@prep,above,prep,43,non-lexical
abracadabra@co,abracadabra,co,1,non-lexical
abracadabra@wplay,abracadabra,wplay,2,non-lexical
abraham_lincoln@n:prop,abraham_lincoln,n:prop,1,non-lexical
abrupt@adv,abrupt,adv,1,non-lexical
absent@adj,absent,adj,1,lexical
absolute@adj,absolute,adj,2,lexical
absolute@adv,absolute,adv,52,lexical
absolute@n,absolute,n,2,lexical
absorb@part,absorb,part,1,lexical
abstraction@n,abstraction,n,1,lexical
absurd@adj,absurd,adj,5,lexical
absurdity@n,absurdity,n,1,lexical
academy@n,academy,n,1,lexical
accept@adj,accept,adj,2,lexical
accept@v,accept,v,11,lexical
accessory@n,accessory,n,1,lexical
accident@adv,accident,adv,6,non-lexical
accident@n,accident,n,8,lexical
accompany@v,accompany,v,1,lexical
accomplish@part,accomplish,part,2,lexical
accord@n,accord,n,1,lexical
accord@part,accord,part,1,lexical
accordion@n,accordion,n,1,lexical
account@n,account,n,1,lexical
accurate@adj,accurate,adj,2,lexical
accuse@v,accuse,v,5,lexical
ache@n,ache,n,7,lexical
ache@n:gerund,ache,n:gerund,1,lexical
ache@part,ache,part,2,lexical
ache@v,ache,v,3,lexical
achooo@co,achooo,co,1,non-lexical
acid@adj,acid,adj,7,lexical
acid@n,acid,n,2,lexical
acorn@n,acorn,n,5,lexical
acquisition@n,acquisition,n,1,lexical
acre@n,acre,n,16,lexical
acrobat@n,acrobat,n,6,lexical
acrobatic@adj,acrobatic,adj,1,lexical
across@adv,across,adv,20,non-lexical
across@prep,across,prep,121,non-lexical
act@n,act,n,4,lexical
act@part,act,part,4,lexical
act@v,act,v,2,lexical
action@n,action,n,10,lexical
active@n,active,n,5,lexical
actual@adj,actual,adj,7,lexical
actual@adv,actual,adv,61,non-lexical
ad@adj,ad,adj,5,lexical
ad@n,ad,n,36,lexical
ada@n:prop,ada,n:prop,2,non-lexical
ada_dupré@n:prop,ada_dupré,n:prop,9,non-lexical
adapt@n,adapt,n,1,lexical
add@part,add,part,21,lexical
add@v,add,v,43,lexical
addition@n,addition,n,1,lexical
addle@part,addle,part,1,lexical
address@n,address,n,6,lexical
address@v,address,v,2,lexical
adjacent@adj,adjacent,adj,1,lexical
adjective@n,adjective,n,1,lexical
adjoin@part,adjoin,part,2,lexical
adjust@n,adjust,n,1,lexical
adjust@v,adjust,v,1,lexical
adle_geras@n:prop,adle_geras,n:prop,1,non-lexical
admire@adj,admire,adj,1,lexical
admire@n,admire,n,1,lexical
admire@part,admire,part,4,lexical
admire@v,admire,v,11,lexical
admit@adv,admit,adv,1,non-lexical
admit@part,admit,part,1,lexical
admit@v,admit,v,9,lexical
adnrew@adj,adnrew,adj,1,lexical
adnrew@n:prop,adnrew,n:prop,4,non-lexical
adore@adj,adore,adj,1,lexical
adore@v,adore,v,5,lexical
adult@n,adult,n,8,lexical
advance@n,advance,n,2,lexical
advance@part,advance,part,1,lexical
advance@v,advance,v,2,lexical
advantage@n,advantage,n,1,lexical
advent@n,advent,n,1,lexical
adventure@n,adventure,n,17,lexical
advert@n,advert,n,3,lexical
advertise@n,advertise,n,3,lexical
advice@n,advice,n,2,lexical
advise@v,advise,v,1,lexical
aerobic@adj,aerobic,adj,5,lexical
aerobics@n:pt,aerobics,n:pt,1,lexical
aeroplane@n,aeroplane,n,5,lexical
aerosol@n,aerosol,n,6,lexical
afar@adv,afar,adv,1,non-lexical
affect@part,affect,part,1,lexical
affection@n,affection,n,1,lexical
affectionate@adv,affectionate,adv,1,lexical
afflict@part,afflict,part,1,lexical
afield@adv,afield,adv,1,non-lexical
aflame@adj,aflame,adj,1,lexical
afraid@adj,afraid,adj,58,lexical
africa@n:prop,africa,n:prop,8,non-lexical
african@adj,african,adj,2,lexical
african@n,african,n,2,lexical
after@adv:tem,after,adv:tem,10,non-lexical
after@conj,after,conj,14,non-lexical
after@prep,after,prep,318,non-lexical
afternoon@n,afternoon,n,42,lexical
afterwards@adv,afterwards,adv,5,non-lexical
again@adv,again,adv,387,non-lexical
against@adv,against,adv,5,non-lexical
against@prep,against,prep,62,non-lexical
age@n,age,n,20,lexical
age@part,age,part,1,lexical
age@v,age,v,2,lexical
agency@n,agency,n,2,lexical
agent@adj,agent,adj,1,lexical
aghast@adj:pred,aghast,adj:pred,2,lexical
agitate@part,agitate,part,1,lexical
aglow@adj:pred,aglow,adj:pred,1,lexical
agnes@n:prop,agnes,n:prop,1,non-lexical
ago@post,ago,post,37,non-lexical
agog@adj,agog,adj,1,lexical
agony@n:gerund,agony,n:gerund,1,lexical
agree@adj,agree,adj,1,lexical
agree@part,agree,part,7,lexical
agree@v,agree,v,31,lexical
ah@co,ah,co,82,non-lexical
aha@co,aha,co,1,non-lexical
ahahaughhhhhhh@co,ahahaughhhhhhh,co,1,non-lexical
ahead@adv,ahead,adv,30,non-lexical
ahem@co,ahem,co,3,non-lexical
ahh@co,ahh,co,1,non-lexical
ahhhhh@co,ahhhhh,co,1,non-lexical
ahhhhhhhh@co,ahhhhhhhh,co,2,non-lexical
ahhhhhhhhhhhh@co,ahhhhhhhhhhhh,co,2,non-lexical
ahoy@co,ahoy,co,2,non-lexical
aid@n,aid,n,2,lexical
aigo@co,aigo,co,1,non-lexical
ailsa@n:prop,ailsa,n:prop,3,non-lexical
aim@n,aim,n,3,lexical
aim@part,aim,part,5,lexical
aim@v,aim,v,3,lexical
air@adj,air,adj,1,lexical
air@n,air,n,140,lexical
airline@n,airline,n,1,lexical
aisle@n,aisle,n,9,lexical
ajar@adv,ajar,adv,2,non-lexical
ak@wplay,ak,wplay,2,non-lexical
al@adj,al,adj,2,lexical
al@n:prop,al,n:prop,4,non-lexical
alack@co,alack,co,1,non-lexical
aladocious@wplay,aladocious,wplay,2,non-lexical
alarm@n,alarm,n,2,lexical
alarm@n:gerund,alarm,n:gerund,2,lexical
alarm@part,alarm,part,4,lexical
alarm@v,alarm,v,1,lexical
albert@adj,albert,adj,1,lexical
albert_einstein@n:prop,albert_einstein,n:prop,1,non-lexical
album@n,album,n,2,lexical
alderman@n,alderman,n,1,lexical
ale@n,ale,n,1,lexical
alf_proysen@n:prop,alf_proysen,n:prop,1,non-lexical
alf_prøysen@n:prop,alf_prøysen,n:prop,1,non-lexical
alfalfa@n,alfalfa,n,1,lexical
algae@n,algae,n,1,lexical
algebra@n,algebra,n,1,lexical
alien@adj,alien,adj,5,lexical
alien@n,alien,n,17,lexical
alight@adj,alight,adj,3,lexical
aliiien@wplay,aliiien,wplay,1,non-lexical
alike@adj,alike,adj,2,lexical
alike@adv,alike,adv,4,non-lexical
alison_uttley@n:prop,alison_uttley,n:prop,1,non-lexical
alive@adj,alive,adj,28,lexical
all@adj,all,adj,2,lexical
all@adv,all,adv,548,non-lexical
all@post,all,post,171,non-lexical
all@pro:indef,all,pro:indef,286,non-lexical
all@qn,all,qn,685,non-lexical
allergic@adj,allergic,adj,2,lexical
alligator@adj,alligator,adj,1,lexical
alligator@n,alligator,n,26,lexical
alllll@wplay,alllll,wplay,1,non-lexical
alllllllreadyyyyy@wplay,alllllllreadyyyyy,wplay,2,non-lexical
allow@n,allow,n,1,lexical
allow@n:gerund,allow,n:gerund,2,lexical
allow@part,allow,part,28,lexical
allow@v,allow,v,16,lexical
allowance@n,allowance,n,1,lexical
allspice@n,allspice,n,1,lexical
alma@n:prop,alma,n:prop,1,non-lexical
almighty@adj,almighty,adj,2,lexical
almond@n,almond,n,3,lexical
almost@adv,almost,adv,71,non-lexical
alone@adv,alone,adv,55,non-lexical
alone@post,alone,post,13,non-lexical
along@adv,along,adv,85,non-lexical
along@prep,along,prep,72,non-lexical
alongside@adv,alongside,adv,1,non-lexical
alongside@prep,alongside,prep,4,non-lexical
aloud@adv,aloud,adv,11,non-lexical
alpaca@n,alpaca,n,1,lexical
alpes@unk,alpes,unk,1,non-lexical
alphabet@n,alphabet,n,1,lexical
alphabet@v,alphabet,v,1,lexical
already@adv,already,adv,66,non-lexical
alreadyyyyy@wplay,alreadyyyyy,wplay,1,non-lexical
alright@adj,alright,adj,2,lexical
also@adv,also,adv,69,non-lexical
alter@n,alter,n,1,lexical
although@conj,although,conj,28,non-lexical
altogether@adv,altogether,adv,9,non-lexical
alun@n:prop,alun,n:prop,1,non-lexical
always@adv,always,adv,193,non-lexical
am@n,am,n,197,lexical
ama_a_a_zing@wplay,ama_a_a_zing,wplay,1,non-lexical
amaze@n,amaze,n,7,lexical
amaze@n:gerund,amaze,n:gerund,1,lexical
amaze@part,amaze,part,29,lexical
amaze@v,amaze,v,3,lexical
amber@adj,amber,adj,2,lexical
ambidextrous@adj,ambidextrous,adj,1,lexical
ambition@n,ambition,n,2,lexical
amble@part,amble,part,1,lexical
amble@v,amble,v,6,lexical
ambulance@n,ambulance,n,3,lexical
amelia@n:prop,amelia,n:prop,7,non-lexical
amelia_upscotch@n:prop,amelia_upscotch,n:prop,1,non-lexical
america@n:prop,america,n:prop,2,non-lexical
american@adj,american,adj,2,lexical
american@n:prop,american,n:prop,1,non-lexical
amidst@prep,amidst,prep,2,non-lexical
amiss@adj,amiss,adj,1,lexical
among@prep,among,prep,30,non-lexical
amount@n,amount,n,6,lexical
amplify@n,amplify,n,1,lexical
amulet@n,amulet,n,1,lexical
amuse@part,amuse,part,6,lexical
ananse@adj,ananse,adj,3,lexical
ananse@n:prop,ananse,n:prop,7,non-lexical
anchor@n,anchor,n,1,lexical
anchovy@n,anchovy,n,3,lexical
ancient@adj,ancient,adj,7,lexical
ancient@n,ancient,n,5,lexical
and@coord,and,coord,10198,non-lexical
andrew@n:prop,andrew,n:prop,14,non-lexical
andrew_matthews@n:prop,andrew_matthews,n:prop,3,non-lexical
anemone@n,anemone,n,2,lexical
angel@n,angel,n,5,lexical
angela@adj,angela,adj,3,lexical
angela@n:prop,angela,n:prop,5,non-lexical
angelica@n,angelica,n,1,lexical
anger@n,anger,n,3,lexical
angry@adj,angry,adj,46,lexical
angry@adv,angry,adv,6,lexical
anguish@n,anguish,n,2,lexical
animal@n,animal,n,123,lexical
anise@n,anise,n,1,lexical
anita_hewitt@n:prop,anita_hewitt,n:prop,2,non-lexical
ankle@n,ankle,n,14,lexical
anklet@n,anklet,n,2,lexical
ann@n:prop,ann,n:prop,6,non-lexical
ann_cameron@n:prop,ann_cameron,n:prop,1,non-lexical
ann_mcdonagh_bengtsson@n:prop,ann_mcdonagh_bengtsson,n:prop,1,non-lexical
anna@n:prop,anna,n:prop,12,non-lexical
anne_gatti@n:prop,anne_gatti,n:prop,1,non-lexical
annette_elizabeth_clark@n:prop,annette_elizabeth_clark,n:prop,2,non-lexical
announce@n,announce,n,9,lexical
announce@v,announce,v,25,lexical
annoy@part,annoy,part,12,lexical
annoy@v,annoy,v,3,lexical
annoyance@n,annoyance,n,3,lexical
annual@adj,annual,adj,3,lexical
annual@n,annual,n,1,lexical
anonymous@adj,anonymous,adj,1,lexical
anorak@n,anorak,n,7,lexical
another@pro:indef,another,pro:indef,9,non-lexical
another@qn,another,qn,175,non-lexical
answer@n,answer,n,29,lexical
answer@part,answer,part,14,lexical
answer@v,answer,v,51,lexical
ant@n,ant,n,15,lexical
antarctica@n:prop,antarctica,n:prop,1,non-lexical
anticipate@n,anticipate,n,1,lexical
anticipate@part,anticipate,part,1,lexical
antics@n:pt,antics,n:pt,2,lexical
antimacassar@n:prop,antimacassar,n:prop,2,non-lexical
anubis@n:prop,anubis,n:prop,1,non-lexical
anxious@adj,anxious,adj,19,lexical
anxious@adv,anxious,adv,7,lexical
any@qn,any,qn,247,non-lexical
anybody@pro:indef,anybody,pro:indef,11,non-lexical
anyhow@adv,anyhow,adv,2,non-lexical
anymore@adv,anymore,adv,14,non-lexical
anyone@pro:indef,anyone,pro:indef,80,non-lexical
anything@pro:indef,anything,pro:indef,139,non-lexical
anytime@adv:tem,anytime,adv:tem,1,non-lexical
anyway@adv,anyway,adv,44,non-lexical
anyway@co,anyway,co,16,non-lexical
anywhere@adv,anywhere,adv,31,non-lexical
apart@adv,apart,adv,8,non-lexical
ape@adj,ape,adj,2,lexical
ape@n,ape,n,9,lexical
ape@part,ape,part,1,lexical
aphid@n,aphid,n,5,lexical
aplenty@adv,aplenty,adv,3,non-lexical
apologetic@adv,apologetic,adv,1,lexical
apology@n,apology,n,1,lexical
apology@v,apology,v,1,lexical
appall@part,appall,part,2,lexical
appall@v,appall,v,1,lexical
apparent@adj,apparent,adj,1,lexical
apparent@adv,apparent,adv,2,lexical
appeal@v,appeal,v,1,lexical
appear@n:gerund,appear,n:gerund,9,lexical
appear@part,appear,part,45,lexical
appear@v,appear,v,44,lexical
appearance@n,appearance,n,1,lexical
appetite@n,appetite,n,5,lexical
applaud@part,applaud,part,1,lexical
applause@n,applause,n,2,lexical
apple@n,apple,n,38,lexical
apply@part,apply,part,1,lexical
appoint@n,appoint,n,1,lexical
appoint@part,appoint,part,1,lexical
appreciate@v,appreciate,v,4,lexical
appreciative@adj,appreciative,adj,1,lexical
approach@n,approach,n,1,lexical
approach@part,approach,part,3,lexical
approach@v,approach,v,3,lexical
appropriate@v,appropriate,v,1,lexical
approval@n,approval,n,2,lexical
approve@adv,approve,adv,7,non-lexical
approve@v,approve,v,1,lexical
approximate@adv,approximate,adv,2,lexical
apricot@n,apricot,n,1,lexical
april@n:prop,april,n:prop,1,non-lexical
apron@n,apron,n,4,lexical
aquiver@adj,aquiver,adj,1,lexical
arabesque@n,arabesque,n,1,lexical
arabia@n:prop,arabia,n:prop,1,non-lexical
arc@n,arc,n,1,lexical
arcade@n,arcade,n,1,lexical
arch@n,arch,n,6,lexical
arch@part,arch,part,1,lexical
archie@n:prop,archie,n:prop,5,non-lexical
archie_lightfoot@adj,archie_lightfoot,adj,1,non-lexical
archie_lightfoot@n:prop,archie_lightfoot,n:prop,13,non-lexical
architect@n,architect,n,3,lexical
area@n,area,n,6,lexical
arghhhhhh@co,arghhhhhh,co,1,non-lexical
arghhhhhhhh@co,arghhhhhhhh,co,1,non-lexical
argue@n,argue,n,4,lexical
argue@part,argue,part,6,lexical
argue@v,argue,v,8,lexical
arithmetic@n,arithmetic,n,1,lexical
ark@n,ark,n,1,lexical
arm@adj,arm,adj,1,lexical
arm@n,arm,n,162,lexical
arm@part,arm,part,3,lexical
arm@v,arm,v,3,lexical
armadillo@n,armadillo,n,1,lexical
armor@n,armor,n,1,lexical
army@n,army,n,31,lexical
around@adv,around,adv,122,non-lexical
around@prep,around,prep,166,non-lexical
arrange@n,arrange,n,4,lexical
arrange@part,arrange,part,6,lexical
arrange@v,arrange,v,8,lexical
arrest@v,arrest,v,1,lexical
arrival@n,arrival,n,6,lexical
arrive@n:gerund,arrive,n:gerund,1,lexical
arrive@part,arrive,part,27,lexical
arrive@v,arrive,v,45,lexical
arrow@n,arrow,n,5,lexical
arrrrggghhhhh@co,arrrrggghhhhh,co,1,non-lexical
arse@n,arse,n,2,lexical
art@n,art,n,16,lexical
artery@n,artery,n,1,lexical
arthur@n:prop,arthur,n:prop,1,non-lexical
article@n,article,n,3,lexical
as@adv,as,adv,340,non-lexical
as@conj,as,conj,561,non-lexical
as@meta,as,meta,7,non-lexical
as@none,as,none,1,non-lexical
as@prep,as,prep,681,non-lexical
ash@adj,ash,adj,1,lexical
ash@n,ash,n,1,lexical
ashamed@adj,ashamed,adj,8,lexical
ashore@adv,ashore,adv,2,non-lexical
ashtray@n,ashtray,n,1,lexical
asian@adj,asian,adj,1,lexical
aside@adv,aside,adv,11,non-lexical
ask@n,ask,n,1,lexical
ask@n:gerund,ask,n:gerund,1,lexical
ask@part,ask,part,168,lexical
ask@v,ask,v,382,lexical
asleep@adv,asleep,adv,80,lexical
aspect@n,aspect,n,2,lexical
assemble@v,assemble,v,1,lexical
assembly@n,assembly,n,2,lexical
assist@v,assist,v,1,lexical
assistance@n,assistance,n,2,lexical
assistant@adj,assistant,adj,4,lexical
assistant@n,assistant,n,7,lexical
associate@n,associate,n,1,lexical
assorted@adj,assorted,adj,1,lexical
assortment@n,assortment,n,2,lexical
assume@v,assume,v,2,lexical
assure@adv,assure,adv,1,non-lexical
assure@part,assure,part,1,lexical
assure@v,assure,v,5,lexical
asthma@n,asthma,n,2,lexical
astonish@adv,astonish,adv,1,non-lexical
astonish@n,astonish,n,1,lexical
astonish@n:gerund,astonish,n:gerund,1,lexical
astonish@part,astonish,part,5,lexical
astound@part,astound,part,1,lexical
astride@prep,astride,prep,1,non-lexical
astronaut@n,astronaut,n,4,lexical
at@prep,at,prep,1708,non-lexical
athlete@n,athlete,n,2,lexical
athletic@adj,athletic,adj,1,lexical
atishoo@co,atishoo,co,2,non-lexical
atlantis@n:prop,atlantis,n:prop,7,non-lexical
atlas@n,atlas,n,9,lexical
atmosphere@n,atmosphere,n,2,lexical
atomic@adj,atomic,adj,2,lexical
atrocious@adj,atrocious,adj,1,lexical
attach@part,attach,part,1,lexical
attach@v,attach,v,3,lexical
attack@n,attack,n,3,lexical
attack@n:gerund,attack,n:gerund,1,lexical
attack@part,attack,part,2,lexical
attack@v,attack,v,8,lexical
attempt@n,attempt,n,2,lexical
attendant@adj,attendant,adj,5,lexical
attendant@n,attendant,n,6,lexical
attention@n,attention,n,16,lexical
attic@n,attic,n,15,lexical
attitude@n,attitude,n,1,lexical
attract@v,attract,v,5,lexical
aubergine@n,aubergine,n,2,lexical
audible@adj,audible,adj,1,lexical
audience@n,audience,n,14,lexical
august@adj,august,adj,2,lexical
aunt@adj,aunt,adj,17,lexical
aunt@n,aunt,n,137,lexical
australia@n:prop,australia,n:prop,3,non-lexical
author@n,author,n,4,lexical
automate@v,automate,v,1,lexical
automatic@adj,automatic,adj,2,lexical
automatic@adv,automatic,adv,1,lexical
automatic@n,automatic,n,1,lexical
autumn@n,autumn,n,12,lexical
ava@adj,ava,adj,2,lexical
ava@n:prop,ava,n:prop,38,non-lexical
avail@adj,avail,adj,2,lexical
avalone@n:prop,avalone,n:prop,2,non-lexical
avenue@n,avenue,n,3,lexical
average@n,average,n,1,lexical
avoid@n,avoid,n,1,lexical
avoid@part,avoid,part,1,lexical
avoid@v,avoid,v,6,lexical
await@part,await,part,1,lexical
await@v,await,v,2,lexical
awake@adj,awake,adj,14,lexical
awake@n,awake,n,2,lexical
awake@v,awake,v,9,lexical
award@n,award,n,1,lexical
aware@adj,aware,adj,2,lexical
away@adv,away,adv,374,non-lexical
awe@n,awe,n,2,lexical
awesome@adj,awesome,adj,2,lexical
awful@adj,awful,adj,32,lexical
awful@adv,awful,adv,4,lexical
awhooooooo@co,awhooooooo,co,1,non-lexical
awk@co,awk,co,1,non-lexical
awkward@adj,awkward,adj,4,lexical
awkward@adv,awkward,adv,3,lexical
awwwww@co,awwwww,co,1,non-lexical
axe@n,axe,n,4,lexical
axel@adj,axel,adj,1,lexical
axel_scheffler@n:prop,axel_scheffler,n:prop,3,non-lexical
ayee@co,ayee,co,1,non-lexical
b@n:let,b,n:let,61,non-lexical
b_t@n:prop,b_t,n:prop,1,non-lexical
ba_ba_ba_ba_ba@co,ba_ba_ba_ba_ba,co,1,non-lexical
ba_doing@on,ba_doing,on,1,non-lexical
baa@co,baa,co,3,non-lexical
babble@n,babble,n,2,lexical
babble@part,babble,part,1,lexical
babe@n,babe,n,1,lexical
babier@wplay,babier,wplay,1,non-lexical
baboon@n,baboon,n,2,lexical
babushka@n:prop,babushka,n:prop,3,non-lexical
babushka_galina_galushka@n:prop,babushka_galina_galushka,n:prop,1,non-lexical
babushka_galushka@n:prop,babushka_galushka,n:prop,2,non-lexical
baby@adj,baby,adj,4,lexical
baby@n,baby,n,232,lexical
baby@part,baby,part,1,lexical
